iter	MultiClass
153	0.9458224485
154	0.9442975659
155	0.9433572759
156	0.9425989605
157	0.9416662559
158	0.9410925822
159	0.9397943806
160	0.9385539066
161	0.9372066284
162	0.9368213866
163	0.9356685405
164	0.9345846051
165	0.9334333139
166	0.9325689349
167	0.9317418027
168	0.9308387093
169	0.9296401678
170	0.9281146401
171	0.9267780042
172	0.9253392671
173	0.9238374462
174	0.9228671907
175	0.9219118886
176	0.9211884132
177	0.9197338782
178	0.9185806776
179	0.9176897023
180	0.9170299628
181	0.9160793136
182	0.9150832838
183	0.9138267179
184	0.9131347104
185	0.9121463756
186	0.9110078856
187	0.9102625973
188	0.9094172461
189	0.9078323633
190	0.9070321274
191	0.9061413529
192	0.9051070533
193	0.9040010666
194	0.9034298244
195	0.9029415065
196	0.9018971053
197	0.9003644371
198	0.8995060827
199	0.8985580693
200	0.8978182199
201	0.8973225758
202	0.8965452336
203	0.8954606293
204	0.8948876991
205	0.8939938768
206	0.8928266876
207	0.892332369
208	0.8916120564
209	0.890873707
210	0.8894139032
211	0.8886252975
212	0.8874749102
213	0.8862987024
214	0.8852076776
215	0.884388913
216	0.882864984
217	0.8814061184
218	0.8808434304
219	0.8801791598
220	0.8792379646
221	0.8784383852
222	0.8778578561
223	0.8771862599
224	0.8766192167
225	0.8756572818
226	0.8744822303
227	0.8728471584
228	0.8718066202
229	0.8710007505
230	0.8700250417
231	0.8693202943
232	0.8686411967
233	0.8681067504
234	0.8670687717
235	0.8664511112
236	0.8654952541
237	0.8645455547
238	0.8635362585
239	0.8629698237
240	0.8619224366
241	0.8615217212
242	0.8602144358
243	0.8593390139
244	0.8582344631
245	0.8577376064
246	0.8571238581
247	0.8562264206
248	0.8552648357
249	0.854844457
250	0.8539674538
251	0.8528742315
252	0.8521345229
253	0.8507053414
254	0.8500575807
255	0.8497043844
256	0.8486812865
257	0.8474343749
258	0.8466146524
259	0.8457504711
260	0.8448182687
261	0.8441101454
262	0.8436735339
263	0.8428834764
264	0.8423767015
265	0.8414052437
266	0.8408288571
267	0.8396650923
268	0.8388844286
269	0.8379769628
270	0.8371102402
271	0.8361756879
272	0.8352623731
273	0.8345551293
274	0.8340821886
275	0.833211975
276	0.8324778305
277	0.8315876773
278	0.8305060839
279	0.8290957667
280	0.8282042341
281	0.8273715574
282	0.8265699266
283	0.8255178339
284	0.8246055551
285	0.8239952733
286	0.823242654
287	0.8226163778
288	0.8221181213
289	0.821311451
290	0.8206043364
291	0.8197768291
292	0.8191093848
293	0.8183947091
294	0.817098548
295	0.8163130679
296	0.8156561604
297	0.8144022296
298	0.8130400168
299	0.8118738735
300	0.8111978244
301	0.8104108416
302	0.8097146055
303	0.809026107
304	0.8081069472
305	0.8072070668
306	0.8064167573
307	0.8058910316
308	0.8054090518
309	0.8047784622
310	0.8040477833
311	0.8029409048
312	0.8016230803
313	0.8010059163
314	0.8001739113
315	0.7996496288
316	0.7989582923
317	0.7980909804
318	0.797448861
319	0.7969695287
320	0.7965799547
321	0.7956999264
322	0.7947377392
323	0.7937581766
324	0.7929171866
325	0.7922074248
326	0.7912549151
327	0.7898479396
328	0.7891079208
329	0.7881874983
330	0.787338765
331	0.7860731083
332	0.7852382241
333	0.7847106268
334	0.7839124621
335	0.7827717943
336	0.7818777094
337	0.7812691592
338	0.7802062623
339	0.7795093251
340	0.7786738801
341	0.7783134309
342	0.777391384
343	0.7767758221
344	0.7764227048
345	0.7760077719
346	0.7751085404
347	0.7739538703
348	0.7731332633
349	0.7723401135
350	0.7713810882
351	0.7706042953
352	0.7696069765
353	0.7689552082
354	0.7683807327
355	0.7673665405
356	0.7669460677
357	0.7662533489
358	0.7654979215
359	0.7647220599
360	0.763919294
361	0.7630711796
362	0.7623300259
363	0.7613285828
364	0.760467236
365	0.7595809067
366	0.7588557939
367	0.7582382486
368	0.7573857848
369	0.7564967715
370	0.7558918878
371	0.7550306198
372	0.7544254811
373	0.7539116913
374	0.7533126446
375	0.7526994233
376	0.7516672987
377	0.7511373896
378	0.75050576
379	0.7495522335
380	0.748800152
381	0.7480733355
382	0.747116928
383	0.7465713954
384	0.7457886783
385	0.7448637585
386	0.7443813327
387	0.7437058275
388	0.7431758953
389	0.742527284
390	0.7419106035
391	0.7413296296
392	0.7406629205
393	0.7401159033
394	0.7395461692
395	0.7385401506
396	0.7376679145
397	0.7367489506
398	0.7354316669
399	0.7346688175
400	0.7340832764
401	0.7333162735
402	0.7326306226
403	0.7318017237
404	0.7312651795
405	0.7306366079
406	0.7300752771
407	0.7291185114
408	0.7285066539
409	0.7279686627
410	0.7272869203
411	0.7265484097
412	0.7256507927
413	0.724995853
414	0.7243202805
415	0.7234007338
416	0.7228015607
417	0.7220727689
418	0.7212923674
419	0.7205764013
420	0.719423135
421	0.7185647857
422	0.7179450684
423	0.7174433997
424	0.7169521979
425	0.7164262536
426	0.7159135878
427	0.7151889148
428	0.7143359986
429	0.7134039788
430	0.7128250455
431	0.7122024842
432	0.7115112104
433	0.7111026664
434	0.7103915753
435	0.7097589932
436	0.709209163
437	0.7088456567
438	0.7079432039
439	0.7072004384
440	0.7064255987
441	0.705782328
442	0.705037976
443	0.7044922402
444	0.7037924515
445	0.7033521346
446	0.7024609659
447	0.7016320257
448	0.7009767081
449	0.7003870547
450	0.6996571233
451	0.6988995007
452	0.6981590036
453	0.6975894737
454	0.6968196709
455	0.6961453821
456	0.6951544829
457	0.6947764212
458	0.6943202034
459	0.6936704845
460	0.6929840439
461	0.6926704163
462	0.692212453
463	0.6914644944
464	0.6910743641
465	0.6905872334
466	0.68985081
467	0.6892939676
468	0.688106473
469	0.6874940945
470	0.6864619304
471	0.6857896799
472	0.6852981236
473	0.6846374454
474	0.6840598705
475	0.6835936696
476	0.6829484599
477	0.6827136357
478	0.6816053856
479	0.6811279765
480	0.6802455775
481	0.6797576692
482	0.6793104819
483	0.678713247
484	0.6780276288
485	0.6776027098
486	0.677240716
487	0.6765196555
488	0.6760068265
489	0.6754759182
490	0.6750020534
491	0.674233722
492	0.6736043686
493	0.6730648059
494	0.6722197964
495	0.6714319353
496	0.6707918415
497	0.6702087785
498	0.6694726927
499	0.6687327506
500	0.6682925792
501	0.6675614524
502	0.666825255
503	0.6662755562
504	0.6655499213
505	0.664921636
506	0.6642891059
507	0.6636885678
508	0.6631710477
509	0.6625979469
510	0.6618918925
511	0.6614985762
512	0.6608208332
513	0.6603502663
514	0.6595486146
515	0.658946282
516	0.6585823445
517	0.6581579794
518	0.65765888
519	0.657108711
520	0.6565859966
521	0.6561540461
522	0.6555256068
523	0.6551357544
524	0.6545136792
525	0.653884822
526	0.6531573774
527	0.6525661457
528	0.6520023142
529	0.651585271
530	0.6509847551
531	0.6501677605
532	0.6495938999
533	0.6489824353
534	0.6479773145
535	0.6474390759
536	0.6467669354
537	0.6459488928
538	0.6453146398
539	0.6446498294
540	0.6439662054
541	0.6431013809
542	0.6423145514
543	0.6416643822
544	0.6404871685
545	0.6397635652
546	0.6392370763
547	0.6384919844
548	0.6381648454
549	0.6371978014
550	0.636302129
551	0.6357042975
552	0.6352806369
553	0.6346630552
554	0.6341637611
555	0.6333315527
556	0.6327299942
557	0.632231835
558	0.6317412264
559	0.6311663553
560	0.6305063548
561	0.6296242556
562	0.6287976241
563	0.6282891473
564	0.627926818
565	0.6271785836
566	0.6264351228
567	0.6257766137
568	0.6253732597
569	0.6247154195
570	0.6239950609
571	0.6234336554
572	0.622674562
573	0.6220717604
574	0.6216499358
575	0.6211101074
576	0.6202556387
577	0.6198863313
578	0.6194832688
579	0.6187649777
580	0.6182108062
581	0.6174523553
582	0.6169259735
583	0.6164341428
584	0.6159113378
585	0.6150922606
586	0.6146432174
587	0.6140902405
588	0.6131234359
589	0.6127493269
590	0.612186083
591	0.6115045594
592	0.6110954228
593	0.6104389341
594	0.6098659514
595	0.6093407537
596	0.6087726005
597	0.6082073566
598	0.6077966127
599	0.606899994
600	0.6062427037
601	0.6052040999
602	0.6044634772
603	0.6039237791
604	0.6036250042
605	0.6032908285
606	0.6027004944
607	0.6021235732
608	0.6017219861
609	0.601024614
610	0.6006719712
611	0.6003708145
612	0.5999927198
613	0.5995619505
614	0.5990028723
615	0.5984258006
616	0.5981068482
617	0.5975458849
618	0.5972219759
619	0.5968811184
620	0.5964233805
621	0.5959710269
622	0.5952765292
623	0.5949756064
624	0.5942963247
625	0.5936337958
626	0.5932620602
627	0.5929392337
628	0.5921592345
629	0.591750128
630	0.5910323632
631	0.5906986283
632	0.5901096946
633	0.5893737521
634	0.5890241756
635	0.5884471487
636	0.5880216758
637	0.5877084057
638	0.5868565482
639	0.5860308601
640	0.5853702796
641	0.5850982652
642	0.5846938955
643	0.5841997734
644	0.583632061
645	0.5826938247
646	0.5824339642
647	0.5818851083
648	0.5810940601
649	0.5805950551
650	0.5796284757
651	0.5789987874
652	0.5784252853
653	0.5776528978
654	0.5770720694
655	0.5763253188
656	0.5755410368
657	0.5747701431
658	0.5741917394
659	0.5738136222
660	0.5735705222
661	0.5732236725
662	0.5728065567
663	0.5722218617
664	0.5715013196
665	0.5710427205
666	0.57067478
667	0.5701984857
668	0.5697914225
669	0.5694291075
670	0.5688779066
671	0.5684214143
672	0.5679360239
673	0.567526592
674	0.5668736929
675	0.5661738991
676	0.5657937744
677	0.565401335
678	0.565027651
679	0.5643143727
680	0.5637222724
681	0.5633909119
682	0.562690718
683	0.5620864904
684	0.5618362324
685	0.5614359122
686	0.5610345239
687	0.5603163533
688	0.5595303775
689	0.559059081
690	0.5584302777
691	0.5577302651
692	0.5573590784
693	0.5567140781
694	0.5561277089
695	0.5555776928
696	0.555068589
697	0.5547060459
698	0.5543342322
699	0.5539761041
700	0.553539645
701	0.5533739619
702	0.5528633817
703	0.5522756922
704	0.5517589298
705	0.5512084029
706	0.5506578996
707	0.5503274115
708	0.5498677521
709	0.5496176915
710	0.5489211779
711	0.5484644554
712	0.5476389897
713	0.5471791763
714	0.5463398722
715	0.5459185161
716	0.5454732269
717	0.5449348877
718	0.5445407206
719	0.5440707719
720	0.5434710795
721	0.5429414779
722	0.5423600245
723	0.5419377536
724	0.541457702
725	0.5410846554
726	0.5406458775
727	0.540339397
728	0.5400226873
729	0.5394146253
730	0.5388092417
731	0.5379468616
732	0.5371734865
733	0.5368552552
734	0.5364448875
735	0.5361444437
736	0.5354313247
737	0.5349649418
738	0.5345499844
739	0.5341001728
740	0.5334536035
741	0.5331916723
742	0.5329279284
743	0.5321647878
744	0.5318397604
745	0.5314086225
746	0.5308124762
747	0.5304211823
748	0.5299747408
749	0.5294935889
750	0.529069226
751	0.5286939699
752	0.5280270022
753	0.5276499029
754	0.5271643725
755	0.5266837791
756	0.526099873
757	0.5255393036
758	0.5252036974
759	0.5245339033
760	0.5241407084
761	0.5238230097
762	0.5233028948
763	0.5230514085
764	0.5224514423
765	0.5217925325
766	0.5214239708
767	0.5209291775
768	0.5206265405
769	0.5199988708
770	0.5196935975
771	0.5191544682
772	0.5183315209
773	0.5180366337
774	0.5175824368
775	0.517127461
776	0.5164696574
777	0.5160803112
778	0.5154668343
779	0.5151448949
780	0.5143491449
781	0.5138369135
782	0.5133972788
783	0.5128884525
784	0.5123835075
785	0.5117148976
786	0.5111954053
787	0.5105191695
788	0.5100668415
789	0.5096967558
790	0.5092323067
791	0.5088795714
792	0.5083756426
793	0.5078416887
794	0.5074522455
795	0.507024012
796	0.5065749809
797	0.5062288988
798	0.5058434713
799	0.505446863
800	0.5050531319
801	0.5047863946
802	0.5044492851
803	0.5040426003
804	0.5034962417
805	0.5030985164
806	0.5029254699
807	0.5024410116
808	0.5020145791
809	0.5016690675
810	0.501269168
811	0.5007711087
812	0.5002792212
813	0.4997343834
814	0.4991921447
815	0.4988677574
816	0.4985902726
817	0.4981488081
818	0.4976433609
819	0.4971965732
820	0.4966799846
821	0.4960413311
822	0.4955692143
823	0.4952819273
824	0.494766371
825	0.4943269854
826	0.4938475
827	0.493343201
828	0.493077758
829	0.4926886805
830	0.4923660617
831	0.4917242715
832	0.491387971
833	0.4910742436
834	0.4907408533
835	0.4901635422
836	0.4895781238
837	0.4892460763
838	0.4890492934
839	0.4886569392
840	0.4882284551
841	0.4878632052
842	0.4872842506
843	0.4869053705
844	0.4865675103
845	0.4862886662
846	0.4857535125
847	0.485306389
848	0.4847279258
849	0.4841409924
850	0.4835176508
851	0.4829848326
852	0.4824587022
853	0.4821993893
854	0.4817172803
855	0.4812358608
856	0.4807579688
857	0.480292022
858	0.4800362349
859	0.4796057469
860	0.4793076334
861	0.4787686749
862	0.4782099754
863	0.4780445268
864	0.4775417554
865	0.4770859476
866	0.4765988871
867	0.4759625075
868	0.4755604308
869	0.4751309507
870	0.4748783883
871	0.4743973237
872	0.4741988576
873	0.4738381073
874	0.4734777183
875	0.4728901868
876	0.4725605831
877	0.4720875926
878	0.4717343139
879	0.4712774829
880	0.4710516228
881	0.4707749336
882	0.470395567
883	0.4700340795
884	0.4696308258
885	0.469315097
886	0.4688894066
887	0.4684750225
888	0.4679011623
889	0.4674846822
890	0.4671749574
891	0.4668736815
892	0.4665296736
893	0.466434642
894	0.4660952259
895	0.4657374659
896	0.4652954548
897	0.4647093772
898	0.4640889114
899	0.4636047651
900	0.4631848451
901	0.4627861347
902	0.4623444796
903	0.4620106119
904	0.4617016528
905	0.4611794205
906	0.4607453537
907	0.4604245491
908	0.4599888074
909	0.4597349947
910	0.459420426
911	0.4591458196
912	0.4590069861
913	0.458654679
914	0.458167339
915	0.4577990411
916	0.4572699154
917	0.4569024517
918	0.4564005561
919	0.4559763678
920	0.4555133055
921	0.4551308802
922	0.4546498928
923	0.4542471197
924	0.4539230294
925	0.4535335811
926	0.4528701773
927	0.452420269
928	0.4517320945
929	0.4513490552
930	0.4508156314
931	0.4506064052
932	0.4502859664
933	0.449945723
934	0.4497508579
935	0.4493782765
936	0.4491522274
937	0.4489950653
938	0.4487265697
939	0.4484629116
940	0.4478839969
941	0.4474432289
942	0.4470178952
943	0.4462525224
944	0.4457589234
945	0.4452203668
946	0.4446660797
947	0.4442862917
948	0.4439572396
949	0.4435823394
950	0.4431620758
951	0.4429548378
952	0.4426306126
953	0.4420390794
954	0.4417564507
955	0.441410417
956	0.4410068077
957	0.440733534
958	0.4404082964
959	0.4399319336
960	0.4396405454
961	0.4392507516
962	0.4389348496
963	0.4384618613
964	0.4379839908
965	0.4373711817
966	0.4369264202
967	0.4365946631
968	0.4363544101
969	0.4359293733
970	0.4355637919
971	0.4352347816
972	0.4350957065
973	0.434719109
974	0.4343505598
975	0.4338448828
976	0.4334379232
977	0.4330393617
978	0.4326319349
979	0.4323256983
980	0.4321256913
981	0.4316152141
982	0.4310787498
983	0.4307627972
984	0.4301744978
985	0.4296955479
986	0.4291652415
987	0.4289465053
988	0.428731154
989	0.4283900385
990	0.4279649061
991	0.4276120313
992	0.4273691334
993	0.4270970894
994	0.4265437201
995	0.426131044
996	0.4256779415
997	0.4254171184
998	0.4249522
999	0.4245564328
