iter	Logloss
0	0.6852785771
1	0.6771840265
2	0.6691277345
3	0.6604580036
4	0.6530687468
5	0.644932875
6	0.6366407623
7	0.6295735654
8	0.6223855934
9	0.6141775201
10	0.6076946102
11	0.5994144977
12	0.5917476121
13	0.5840709704
14	0.5787629988
15	0.5721072477
16	0.5659729811
17	0.5586976427
18	0.5512222398
19	0.5458036347
20	0.5409910706
21	0.5337775572
22	0.5278563749
23	0.5233840951
24	0.5181309349
25	0.5124834267
26	0.5080169304
27	0.5028211069
28	0.4972918225
29	0.4931406011
30	0.4887038288
31	0.482656642
32	0.4776058921
33	0.4732912692
34	0.4699571958
35	0.4661097085
36	0.4616307584
37	0.4578668901
38	0.4543682447
39	0.450572796
40	0.4468543557
41	0.4430217457
42	0.4388439438
43	0.435527043
44	0.4331372439
45	0.4302175065
46	0.4277420275
47	0.4238406865
48	0.4208646079
49	0.4181627021
50	0.4147740119
51	0.4114509907
52	0.4097307017
53	0.4072939822
54	0.4041260596
55	0.4016103279
56	0.3989312954
57	0.3970870297
58	0.3952338012
59	0.3932936655
60	0.3912176208
61	0.3892450356
62	0.3870863916
63	0.3847217323
64	0.3818938972
65	0.379923212
66	0.3776396069
67	0.3758567743
68	0.3742636586
69	0.3726216119
70	0.3701863597
71	0.3683241209
72	0.3667306099
73	0.3650009084
74	0.3627793967
75	0.3611322215
76	0.3588874023
77	0.3575539434
78	0.3559054786
79	0.354546938
80	0.3526458151
81	0.3512955382
82	0.3500148833
83	0.3482521553
84	0.3463268476
85	0.3442964614
86	0.34300254
87	0.3414148734
88	0.3400099503
89	0.3386943279
90	0.3375305366
91	0.3361415721
92	0.3345599618
93	0.3329245665
94	0.3319696165
95	0.3308094241
96	0.3297417809
97	0.3280858827
98	0.3268547969
99	0.3257389265
100	0.3247696689
101	0.3240089161
102	0.3228161007
103	0.3219281587
104	0.320613024
105	0.3198603419
106	0.3188605928
107	0.3181714161
108	0.3173848947
109	0.316042025
110	0.3144479618
111	0.313576623
112	0.3123605858
113	0.3112159157
114	0.3102585941
115	0.3092032343
116	0.3084265224
117	0.3073214401
118	0.3063258773
119	0.3053807509
120	0.3045968761
121	0.3037113811
122	0.3033670139
123	0.3026619206
124	0.3015559442
125	0.3006160285
126	0.2997496995
127	0.2989336109
128	0.2979307884
129	0.2971019214
130	0.2963000353
131	0.2956831514
132	0.2950400507
133	0.2942395243
134	0.2934679971
135	0.2923999419
136	0.2916968536
137	0.2908641388
138	0.290163615
139	0.2893252695
140	0.2888789633
141	0.2882607531
142	0.2875068576
143	0.2868426452
144	0.2860851976
145	0.2855283575
146	0.285080066
147	0.2845037195
148	0.2837864059
149	0.2830721057
150	0.2823480678
151	0.2816347148
152	0.2811988228
153	0.2805207553
154	0.2801298673
155	0.2794001478
156	0.2786472175
157	0.2778686493
158	0.2771160868
159	0.2763358905
160	0.2755693529
161	0.2749817773
162	0.2741613735
163	0.2735150487
164	0.2729523956
165	0.2724864526
166	0.2719795042
167	0.2714553726
168	0.2708073633
169	0.2703831097
170	0.269586142
171	0.2690548962
172	0.2684760053
173	0.2679719038
174	0.2670822906
175	0.2663756378
176	0.2658544378
177	0.2652467055
178	0.2647472575
179	0.2642922233
180	0.2635354391
181	0.2631141414
182	0.2626243927
183	0.2621750325
184	0.2614581889
185	0.2609976714
186	0.260494079
187	0.2601067802
188	0.2596229948
189	0.2590392029
190	0.2586410121
191	0.2580958997
192	0.2575569624
193	0.2568237337
194	0.2562895624
195	0.2558551767
196	0.2552299089
197	0.2548177574
198	0.2543332526
199	0.2537920218
200	0.2532999554
201	0.2528620848
202	0.252249938
203	0.2517721867
204	0.2514751483
205	0.2508560703
206	0.2505180968
207	0.25014215
208	0.249618623
209	0.2491361619
210	0.2485533109
211	0.2479307047
212	0.2475721293
213	0.2469516596
214	0.2465228936
215	0.2460138568
216	0.2458156933
217	0.2451344512
218	0.2447056278
219	0.2443679131
220	0.2440406993
221	0.2434363246
222	0.243065189
223	0.2427936823
224	0.2424394893
225	0.2420219265
226	0.2419410496
227	0.2414114288
228	0.2409572209
229	0.2404909657
230	0.2399912925
231	0.2394501297
232	0.238977516
233	0.238532939
234	0.2381905084
235	0.2377208776
236	0.2372649973
237	0.2368871625
238	0.2363893344
239	0.235856592
240	0.2353558159
241	0.2349646383
242	0.234705439
243	0.2344071647
244	0.2341251067
245	0.2338041607
246	0.2332966471
247	0.2329811867
248	0.2327093112
249	0.2323826223
250	0.2320670268
251	0.2316609974
252	0.2313327403
253	0.2310676345
254	0.2308201593
255	0.2306117386
256	0.2301880953
257	0.2299397243
258	0.229393414
259	0.2287202563
260	0.2282182774
261	0.2278692399
262	0.227629346
263	0.2272265392
264	0.2266777177
265	0.2264649143
266	0.2261591031
267	0.2258403567
268	0.2254761238
269	0.2251327569
270	0.2246767119
271	0.2241461044
272	0.2237640452
273	0.2233907359
274	0.2230490073
275	0.2225525081
276	0.2221002096
277	0.2217672603
278	0.2213975932
279	0.2211300156
280	0.2208339877
281	0.2204655384
282	0.2201690492
283	0.2198276765
284	0.2194403428
285	0.2191258015
286	0.2187741976
287	0.2185682613
288	0.2182452953
289	0.2176978677
290	0.2174584319
291	0.2171403923
292	0.2168822498
293	0.2166547821
294	0.2162568499
295	0.2160362946
296	0.2157744302
297	0.2155463316
298	0.2152595636
299	0.2148483052
300	0.2145937334
301	0.2143045326
302	0.2141268191
303	0.2139438064
304	0.2137357752
305	0.2135101047
306	0.2132277554
307	0.2128821518
308	0.2125799701
309	0.2122164987
310	0.211877926
311	0.2116913136
312	0.2112924965
313	0.2109265477
314	0.2106371114
315	0.2102501649
316	0.2098379946
317	0.2095410392
318	0.2091851027
319	0.208982092
320	0.2087534274
321	0.2084633764
322	0.2080546369
323	0.2076822273
324	0.2073994932
325	0.2071153095
326	0.2068449122
327	0.2065433518
328	0.2063050601
329	0.2059885959
330	0.2056841193
331	0.2054858553
332	0.2052387427
333	0.204882858
334	0.2046665947
335	0.204197805
336	0.2040162191
337	0.2035183302
338	0.2032642556
339	0.2029336691
340	0.202660531
341	0.2023819307
342	0.2021213465
343	0.2019279218
344	0.2015935479
345	0.2011540951
346	0.2008293477
347	0.2006065128
348	0.2002859557
349	0.2000503466
350	0.1998153951
351	0.199535463
352	0.1991404858
353	0.1987576215
354	0.1984227337
355	0.1981827158
356	0.1978339865
357	0.1974648119
358	0.197142784
359	0.19690428
360	0.196627376
361	0.1962713339
362	0.1959455351
363	0.195601196
364	0.1954140316
365	0.1951704336
366	0.1948839149
367	0.194616565
368	0.194261693
369	0.1939822714
370	0.1935642745
371	0.1931986929
372	0.1929205091
373	0.1927253244
374	0.1924261773
375	0.1921706825
376	0.1919084046
377	0.1916458735
378	0.1914295562
379	0.1912187257
380	0.1908212492
381	0.1906275199
382	0.190273471
383	0.1898898143
384	0.1896468256
385	0.1894373976
386	0.1891584346
387	0.1889129822
388	0.1886118335
389	0.1883992175
390	0.1880841866
391	0.187926302
392	0.1876032893
393	0.1873248738
394	0.1871063523
395	0.1869538011
396	0.1867408429
397	0.1864344217
398	0.18616883
399	0.1860370198
400	0.1857808552
401	0.1855802608
402	0.1853911796
403	0.1851552128
404	0.1849319638
405	0.1845269145
406	0.1843425492
407	0.1840284491
408	0.1838152769
409	0.1834782254
410	0.1832717438
411	0.1830421839
412	0.1828219993
413	0.1826518952
414	0.1824028312
415	0.182264002
416	0.1819354975
417	0.1816757372
418	0.1814551612
419	0.1812239406
420	0.1809248916
421	0.1807032968
422	0.1803982723
423	0.1802386028
424	0.1799656478
425	0.1796378898
426	0.1794051271
427	0.179216209
428	0.1789418289
429	0.1787008533
430	0.1784447733
431	0.1781647023
432	0.1780569509
433	0.1778771661
434	0.1775119717
435	0.1771984606
436	0.1768407718
437	0.1766199429
438	0.1764004475
439	0.1761358198
440	0.1759590185
441	0.1756725011
442	0.1755173568
443	0.1752277287
444	0.174852299
445	0.1746629814
446	0.1744969528
447	0.1742269791
448	0.1740238716
449	0.1738023853
450	0.1736153291
451	0.1734831479
452	0.1731682779
453	0.1728742446
454	0.1726442112
455	0.1724357668
456	0.172242166
457	0.1718802796
458	0.1716811906
459	0.1715439242
460	0.1713941021
461	0.1712551028
462	0.1710733667
463	0.170928232
464	0.1707422631
465	0.1704457591
466	0.1703377414
467	0.1700858399
468	0.1699109929
469	0.1696679737
470	0.1693857913
471	0.1691621812
472	0.1689527692
473	0.1687927665
474	0.1685427903
475	0.1683724265
476	0.1680960803
477	0.167839494
478	0.1676144974
479	0.1673589321
480	0.1671708183
481	0.1669983133
482	0.1666683259
483	0.1664289271
484	0.1662310356
485	0.1660398049
486	0.1658391454
487	0.1655962971
488	0.165387268
489	0.1652405613
490	0.1649603191
491	0.1647292711
492	0.1645111794
493	0.1642017741
494	0.1639174453
495	0.1637351311
496	0.1634920722
497	0.1632118759
498	0.1629725876
499	0.162723274
500	0.1625385237
501	0.162206698
502	0.1620157855
503	0.1618258265
504	0.1616282448
505	0.1615723256
506	0.1613245953
507	0.1611002498
508	0.1608342195
509	0.1606505681
510	0.1604400061
511	0.1602802547
512	0.1601607202
513	0.1599331882
514	0.1596438334
515	0.1593868518
516	0.1592240869
517	0.1591263208
518	0.1589600966
519	0.1587575474
520	0.1585830555
521	0.1582943245
522	0.1580450546
523	0.1578904619
524	0.1575726699
525	0.1573715847
526	0.1572610685
527	0.1570922881
528	0.1568641873
529	0.1566091948
530	0.1563941277
531	0.1561768133
532	0.1559752976
533	0.1558666902
534	0.1556610539
535	0.1554585865
536	0.1553611958
537	0.1551485334
538	0.1549619412
539	0.1548505139
540	0.1546645066
541	0.1544165002
542	0.1541719462
543	0.15399726
544	0.1538668385
545	0.1536683007
546	0.1535110553
547	0.1533069678
548	0.1531571529
549	0.1529564481
550	0.1527668067
551	0.1526064741
552	0.1524468398
553	0.1523194678
554	0.1521521738
555	0.1519956633
556	0.1518130387
557	0.1516167541
558	0.1514528088
559	0.1512901395
560	0.1510762767
561	0.150833503
562	0.1506112038
563	0.1503301579
564	0.1501382442
565	0.1499610835
566	0.1497589134
567	0.1496187412
568	0.1494439198
569	0.149354849
570	0.1490903777
571	0.1489757763
572	0.1487037975
573	0.1485363468
574	0.148352037
575	0.1482120418
576	0.1480746919
577	0.1478607667
578	0.1476223422
579	0.1474283921
580	0.1472360278
581	0.1471059983
582	0.1469157196
583	0.1466164128
584	0.1465446974
585	0.1463863584
586	0.1462236079
587	0.1460154668
588	0.1458179892
589	0.1455915628
590	0.145419942
591	0.1452383898
592	0.1451191578
593	0.1449227796
594	0.144730856
595	0.1446111701
596	0.144387237
597	0.144238369
598	0.1440661075
599	0.1438974119
600	0.143737565
601	0.1435602279
602	0.1433827197
603	0.1432273163
604	0.1429751436
605	0.1428447699
606	0.1426867905
607	0.1424164734
608	0.1420576355
609	0.1418702768
610	0.1416075543
611	0.1414323791
612	0.1413461448
613	0.1411863482
614	0.1409859325
615	0.1407941308
616	0.1406012035
617	0.1403959957
618	0.1402681189
619	0.1400976768
620	0.1399144025
621	0.1397271867
622	0.1396195351
623	0.1394820776
624	0.1392567286
625	0.1391083988
626	0.1389158832
627	0.1386863489
628	0.1384876943
629	0.1383080151
630	0.1381423873
631	0.1379814304
632	0.1378330124
633	0.1376129431
634	0.137424833
635	0.1373147842
636	0.1371866329
637	0.1368911502
638	0.1366360503
639	0.1364936413
640	0.136299609
641	0.1361782753
642	0.1358986118
643	0.1356614897
644	0.1353801756
645	0.1351592806
646	0.1350193576
647	0.1348420472
648	0.1345844954
649	0.134413869
650	0.1341793447
651	0.1340237857
652	0.1339237457
653	0.1336355084
654	0.1335063007
655	0.1333632265
656	0.1331719593
657	0.1329438932
658	0.1328153349
659	0.1326473269
660	0.1324833507
661	0.1322261921
662	0.1320134491
663	0.1318484579
664	0.131684245
665	0.1314877575
666	0.1312959935
667	0.1311412053
668	0.1309932558
669	0.1307987285
670	0.1306373054
671	0.1304812083
672	0.1303702349
673	0.1301140364
674	0.1298857641
675	0.1297680407
676	0.1296062487
677	0.1294034916
678	0.129226331
679	0.1290751614
680	0.1289543158
681	0.1288689713
682	0.1286987674
683	0.1286126027
684	0.1283523799
685	0.128189025
686	0.1280071865
687	0.1277647702
688	0.127589874
689	0.1274253299
690	0.1273219373
691	0.1271572599
692	0.1269812223
693	0.1267451033
694	0.1266292052
695	0.1265262569
696	0.1263889495
697	0.1262940912
698	0.1260843691
699	0.1258452803
700	0.1256936159
701	0.1255235668
702	0.1253960861
703	0.1251603977
704	0.1249733892
705	0.1247692206
706	0.1246497456
707	0.1244840483
708	0.1243457889
709	0.1242200296
710	0.1240641425
711	0.1239660721
712	0.1237788693
713	0.1236515336
714	0.12348296
715	0.1233772922
716	0.1231858109
717	0.1230481489
718	0.1229058772
719	0.1227740677
720	0.1226087895
721	0.1224298521
722	0.1223461907
723	0.122236975
724	0.1219801107
725	0.1218333333
726	0.1216529566
727	0.121510801
728	0.1213940382
729	0.1212364185
730	0.1210935523
731	0.1209074731
732	0.1207903913
733	0.1206545323
734	0.1205308146
735	0.12030034
736	0.1200953729
737	0.119935414
738	0.1196999724
739	0.1195833819
740	0.1193983023
741	0.1192669819
742	0.1191683299
743	0.1189952892
744	0.1188316841
745	0.1186951776
746	0.1185480165
747	0.1184190599
748	0.1182099491
749	0.1181028203
750	0.1180048317
751	0.117871649
752	0.1177413433
