iter	Logloss
0	0.6915661667
1	0.689392494
2	0.687750366
3	0.6861109794
4	0.6845391199
5	0.6830987165
6	0.6812270293
7	0.6796521958
8	0.6779952117
9	0.6767398475
10	0.6749961119
11	0.6744956825
12	0.6729207673
13	0.6720784105
14	0.6709907186
15	0.6694010997
16	0.6684920353
17	0.6672780399
18	0.6660030733
19	0.664826103
20	0.6639418222
21	0.662533389
22	0.6611144705
23	0.659759701
24	0.6592333578
25	0.6577912984
26	0.6570079973
27	0.6557660946
28	0.6547540549
29	0.6539618718
30	0.6533658565
31	0.6524100993
32	0.6513191562
33	0.6501609471
34	0.6494680947
35	0.6490681162
36	0.6478534899
37	0.6469566386
38	0.6460462699
39	0.6451306058
40	0.6445440968
41	0.6435440993
42	0.6429491025
43	0.641816127
44	0.6414199689
45	0.6406577385
46	0.6397742783
47	0.6392352419
48	0.6390404911
49	0.63838807
50	0.6376830647
51	0.6365319986
52	0.6358703539
53	0.6348887558
54	0.6340978421
55	0.6332168058
56	0.6325914498
57	0.6319498486
58	0.6310552403
59	0.6305591128
60	0.6303253683
61	0.6295346448
62	0.6290896238
63	0.628080733
64	0.627707078
65	0.6266811596
66	0.6262637725
67	0.6253420465
68	0.6245192141
69	0.6235546915
70	0.623162388
71	0.62271706
72	0.6219844069
73	0.62152984
74	0.620738555
75	0.6204092046
76	0.619677538
77	0.6192606862
78	0.6186463154
79	0.6180663131
80	0.6175044305
81	0.6169516538
82	0.6161552261
83	0.6155401534
84	0.614791744
85	0.6143191654
86	0.6137428972
87	0.6134023167
88	0.6130985844
89	0.6123350168
90	0.6117636873
91	0.6109994965
92	0.6101669807
93	0.6099267526
94	0.6092967703
95	0.6087006484
96	0.608231966
97	0.6077323
98	0.6074451604
99	0.6069504346
100	0.6066549736
101	0.6059929509
102	0.6054426839
103	0.6051119332
104	0.6048161422
105	0.6043776642
106	0.6037325542
107	0.6033993755
108	0.6029173044
109	0.6025373447
110	0.6019459035
111	0.6017194588
112	0.6010240073
113	0.6007842118
114	0.6004865742
115	0.6002326093
116	0.5998775426
117	0.5994219974
118	0.59909816
119	0.5983165313
120	0.5978912801
121	0.597499392
122	0.5969793494
123	0.5963523757
124	0.5959855867
125	0.5954947465
126	0.5950153873
127	0.594589575
128	0.5939870006
129	0.5934329439
130	0.5930509902
131	0.5924762622
132	0.592201808
133	0.5917099713
134	0.5911734738
135	0.5905412602
136	0.5903899478
137	0.5901697788
138	0.5899292176
139	0.5892709019
140	0.5887505663
141	0.5882655116
142	0.5880661611
143	0.58786597
144	0.5873985736
145	0.587067231
146	0.5867406231
147	0.5865938938
148	0.586031883
149	0.5853603836
150	0.5850726318
151	0.5843107561
152	0.5841794603
153	0.583682717
154	0.5831242248
155	0.5825732744
156	0.5818766399
157	0.5814766797
158	0.5813524279
159	0.5811755018
160	0.5804688723
161	0.5800278376
162	0.5797226862
163	0.5795255606
164	0.5788549595
165	0.5787762506
166	0.5786609018
167	0.5784282786
168	0.578144586
169	0.5779194103
170	0.5773396768
171	0.5772312814
172	0.5772105204
173	0.5766102302
174	0.5763466097
175	0.5760965602
176	0.5755901113
177	0.5754943525
178	0.5747884994
179	0.5747091621
180	0.5745781977
181	0.5743105228
182	0.5742008949
183	0.5740181815
184	0.5736210037
185	0.5735453855
186	0.5730847748
187	0.5725958975
188	0.5722681914
189	0.5717494886
190	0.5714726944
